Manhattan,American,06D,Z
Brooklyn,Caribbean,02B,A
Brooklyn,Hamburgers,10B,A
Brooklyn,Coffee/Tea,10F,A
Queens,Asian/Asian Fusion,06F,B
Manhattan,Coffee/Tea,06D,A
Manhattan,Chinese,08A,A
Manhattan,Coffee/Tea,10A,A
Queens,Juice, Smoothies, Fruit Salads,10B,A
Queens,Chinese,02G,A
Manhattan,Bakery Products/Desserts,09C,A
Brooklyn,American,08A,N
Staten Island,Chicken,02B,A
Manhattan,American,10B,N
Brooklyn,Coffee/Tea,06C,C
Manhattan,Indian,04C,A
Brooklyn,Mexican,04N,A
Manhattan,Mexican,10F,A
Queens,American,05D,A
Bronx,Pizza,04L,A
Brooklyn,Middle Eastern,10F,Z
Queens,Latin American,10F,A
Manhattan,Coffee/Tea,04A,C
Queens,Spanish,08A,A
Brooklyn,Chinese,10B,A
Bronx,American,10F,A
Queens,Korean,10F,N
Queens,Chinese,02B,A
Brooklyn,American,10F,A
Brooklyn,Jewish/Kosher,04A,A
Brooklyn,Bakery Products/Desserts,10B,C
Queens,Tex-Mex,04N,A
Manhattan,Other,06C,N
Brooklyn,Pizza,02G,B
Manhattan,Italian,02G,A
Manhattan,Italian,10F,A
Manhattan,Pizza,10F,A
Brooklyn,American,09A,A
Staten Island,Southeast Asian,06F,A
Brooklyn,Pizza,10F,A
Manhattan,Coffee/Tea,06C,N
Staten Island,Mediterranean,08A,A
Manhattan,Japanese,06C,A
Queens,Eastern European,08A,A
Brooklyn,Chinese,09B,C
Queens,Japanese,10F,A
Queens,Chinese,10B,A
Manhattan,Asian/Asian Fusion,06C,A
Queens,Hamburgers,04H,A
Brooklyn,American,06D,A
Queens,Coffee/Tea,03A,C
Queens,Bagels/Pretzels,08A,C
Manhattan,Italian,02G,A
Manhattan,Sandwiches,02G,Z
Manhattan,Steakhouse,06C,B
Brooklyn,Chinese,08A,C
Manhattan,Juice, Smoothies, Fruit Salads,02G,C
Bronx,Bakery Products/Desserts,10F,B
